task_id,exam_type,exam_date,task_no,cluster_id,cluster_label
MI|2008-03-19|1,MI,2008-03-19,1,11,Pretraga
MI|2008-03-19|2,MI,2008-03-19,2,3,Rekurzija
MI|2008-03-19|3,MI,2008-03-19,3,9,Graf
MI|2008-03-19|4,MI,2008-03-19,4,13,KMP
MI|2008-05-07|1,MI,2008-05-07,1,4,Uzlazno sortiranje
MI|2008-05-07|2,MI,2008-05-07,2,0,Sortiranje
MI|2008-05-07|3,MI,2008-05-07,3,4,Uzlazno sortiranje
MI|2008-05-07|4,MI,2008-05-07,4,10,Dinamička alokacija
MI|2009-04-09|1,MI,2009-04-09,1,13,KMP
MI|2009-04-09|2,MI,2009-04-09,2,3,Rekurzija
MI|2009-04-09|3,MI,2009-04-09,3,9,Graf
MI|2009-04-09|4,MI,2009-04-09,4,3,Rekurzija
MI|2009-05-22|1,MI,2009-05-22,1,0,Sortiranje
MI|2009-05-22|2,MI,2009-05-22,2,4,Uzlazno sortiranje
MI|2009-05-22|3,MI,2009-05-22,3,10,Dinamička alokacija
MI|2009-05-22|4,MI,2009-05-22,4,0,Sortiranje
MI|2010-03-29|1,MI,2010-03-29,1,13,KMP
MI|2010-03-29|2,MI,2010-03-29,2,3,Rekurzija
MI|2010-03-29|3,MI,2010-03-29,3,3,Rekurzija
MI|2010-03-29|4,MI,2010-03-29,4,9,Graf
MI|2010-03-29|5,MI,2010-03-29,5,9,Graf
MI|2010-03-29|6,MI,2010-03-29,6,9,Graf
MI|2010-05-10|1,MI,2010-05-10,1,0,Sortiranje
MI|2010-05-10|2,MI,2010-05-10,2,10,Dinamička alokacija
MI|2010-05-10|3,MI,2010-05-10,3,4,Uzlazno sortiranje
MI|2010-05-10|4,MI,2010-05-10,4,9,Graf
MI|2010-05-10|5,MI,2010-05-10,5,9,Graf
MI|2010-05-10|6,MI,2010-05-10,6,9,Graf
MI|2011-03-21|1,MI,2011-03-21,1,3,Rekurzija
MI|2011-03-21|2,MI,2011-03-21,2,13,KMP
MI|2011-03-21|3,MI,2011-03-21,3,3,Rekurzija
MI|2011-03-21|4,MI,2011-03-21,4,9,Graf
MI|2011-03-21|5,MI,2011-03-21,5,9,Graf
MI|2011-05-02|1,MI,2011-05-02,1,0,Sortiranje
MI|2011-05-02|2,MI,2011-05-02,2,10,Dinamička alokacija
MI|2011-05-02|3,MI,2011-05-02,3,2,Stog operacije
MI|2011-05-02|4,MI,2011-05-02,4,4,Uzlazno sortiranje
MI|2011-05-02|5,MI,2011-05-02,5,4,Uzlazno sortiranje
MI|2011-05-02|6,MI,2011-05-02,6,9,Graf
MI|2012-04-25|1,MI,2012-04-25,1,13,KMP
MI|2012-04-25|2,MI,2012-04-25,2,3,Rekurzija
MI|2012-04-25|3,MI,2012-04-25,3,9,Graf
MI|2012-04-25|4,MI,2012-04-25,4,4,Uzlazno sortiranje
MI|2012-04-25|5,MI,2012-04-25,5,4,Uzlazno sortiranje
MI|2013-04-23|1,MI,2013-04-23,1,13,KMP
MI|2013-04-23|2,MI,2013-04-23,2,3,Rekurzija
MI|2013-04-23|3,MI,2013-04-23,3,3,Rekurzija
MI|2013-04-23|4,MI,2013-04-23,4,3,Rekurzija
MI|2013-04-23|5,MI,2013-04-23,5,4,Uzlazno sortiranje
MI|2014-04-23|1,MI,2014-04-23,1,13,KMP
MI|2014-04-23|2,MI,2014-04-23,2,11,Pretraga
MI|2014-04-23|3,MI,2014-04-23,3,11,Pretraga
MI|2014-04-23|4,MI,2014-04-23,4,3,Rekurzija
MI|2014-04-23|5,MI,2014-04-23,5,4,Uzlazno sortiranje
MI|2015-04-21|1,MI,2015-04-21,1,13,KMP
MI|2015-04-21|2,MI,2015-04-21,2,3,Rekurzija
MI|2015-04-21|3,MI,2015-04-21,3,3,Rekurzija
MI|2015-04-21|4,MI,2015-04-21,4,11,Pretraga
MI|2015-04-21|5,MI,2015-04-21,5,4,Uzlazno sortiranje
MI|2016-04-26|1,MI,2016-04-26,1,3,Rekurzija
MI|2016-04-26|2,MI,2016-04-26,2,6,Složenost algoritama
MI|2016-04-26|3,MI,2016-04-26,3,3,Rekurzija
MI|2016-04-26|4,MI,2016-04-26,4,4,Uzlazno sortiranje
MI|2016-04-26|5,MI,2016-04-26,5,3,Rekurzija
MI|2017-04-19|1,MI,2017-04-19,1,3,Rekurzija
MI|2017-04-19|2,MI,2017-04-19,2,6,Složenost algoritama
MI|2017-04-19|3,MI,2017-04-19,3,4,Uzlazno sortiranje
MI|2017-04-19|4,MI,2017-04-19,4,7,Povezana lista
MI|2019-11-25|1,MI,2019-11-25,1,3,Rekurzija
MI|2019-11-25|2,MI,2019-11-25,2,6,Složenost algoritama
MI|2019-11-25|3,MI,2019-11-25,3,8,Red
MI|2019-11-25|4,MI,2019-11-25,4,8,Red
MI|2019-11-25|5,MI,2019-11-25,5,4,Uzlazno sortiranje
MI|2020-11-24|1,MI,2020-11-24,1,11,Pretraga
MI|2020-11-24|2,MI,2020-11-24,2,8,Red
MI|2020-11-24|3,MI,2020-11-24,3,7,Povezana lista
MI|2020-11-24|4,MI,2020-11-24,4,6,Složenost algoritama
MI|2020-11-24|5,MI,2020-11-24,5,4,Uzlazno sortiranje
MI|2021-11-28|1,MI,2021-11-28,1,11,Pretraga
MI|2021-11-28|2,MI,2021-11-28,2,6,Složenost algoritama
MI|2021-11-28|3,MI,2021-11-28,3,7,Povezana lista
MI|2021-11-28|4,MI,2021-11-28,4,8,Red
MI|2021-11-29|1,MI,2021-11-29,1,8,Red
MI|2021-11-29|2,MI,2021-11-29,2,11,Pretraga
MI|2021-11-29|3,MI,2021-11-29,3,6,Složenost algoritama
MI|2021-11-29|4,MI,2021-11-29,4,8,Red
MI|2021-11-29|5,MI,2021-11-29,5,8,Red
MI|2023-11-27|1,MI,2023-11-27,1,14,Gomila
MI|2023-11-27|2,MI,2023-11-27,2,6,Složenost algoritama
MI|2023-11-27|3,MI,2023-11-27,3,7,Povezana lista
MI|2023-11-27|4,MI,2023-11-27,4,0,Sortiranje
MI|2023-11-27|5,MI,2023-11-27,5,4,Uzlazno sortiranje
MI|2024-11-29|1,MI,2024-11-29,1,6,Složenost algoritama
MI|2024-11-29|2,MI,2024-11-29,2,7,Povezana lista
MI|2024-11-29|3,MI,2024-11-29,3,8,Red
MI|2024-11-29|4,MI,2024-11-29,4,4,Uzlazno sortiranje
MI|2025-11-28|1,MI,2025-11-28,1,6,Složenost algoritama
MI|2025-11-28|2,MI,2025-11-28,2,7,Povezana lista
MI|2025-11-28|3,MI,2025-11-28,3,8,Red
MI|2025-11-28|4,MI,2025-11-28,4,4,Uzlazno sortiranje
ZI|2008-07-03|1,ZI,2008-07-03,1,5,Hash tablica
ZI|2008-07-03|2,ZI,2008-07-03,2,7,Povezana lista
ZI|2008-07-03|3,ZI,2008-07-03,3,3,Rekurzija
ZI|2008-07-03|4,ZI,2008-07-03,4,8,Red
ZI|2009-06-23|1,ZI,2009-06-23,1,7,Povezana lista
ZI|2009-06-23|2,ZI,2009-06-23,2,5,Hash tablica
ZI|2009-06-23|3,ZI,2009-06-23,3,14,Gomila
ZI|2009-06-23|4,ZI,2009-06-23,4,3,Rekurzija
ZI|2010-07-02|1,ZI,2010-07-02,1,7,Povezana lista
ZI|2010-07-02|2,ZI,2010-07-02,2,5,Hash tablica
ZI|2010-07-02|3,ZI,2010-07-02,3,14,Gomila
ZI|2010-07-02|4,ZI,2010-07-02,4,9,Graf
ZI|2010-07-02|5,ZI,2010-07-02,5,5,Hash tablica
ZI|2010-07-02|6,ZI,2010-07-02,6,9,Graf
ZI|2011-06-13|1,ZI,2011-06-13,1,7,Povezana lista
ZI|2011-06-13|2,ZI,2011-06-13,2,5,Hash tablica
ZI|2011-06-13|3,ZI,2011-06-13,3,14,Gomila
ZI|2011-06-13|4,ZI,2011-06-13,4,5,Hash tablica
