task_id,exam_type,exam_date,task_no,cluster_id,cluster_label
MI|2008-03-19|1,MI,2008-03-19,1,0,Sortiranje
MI|2008-03-19|2,MI,2008-03-19,2,3,Vezana lista
MI|2008-03-19|3,MI,2008-03-19,3,9,Složenost algoritama
MI|2008-03-19|4,MI,2008-03-19,4,3,Vezana lista
MI|2008-05-07|1,MI,2008-05-07,1,0,Sortiranje
MI|2008-05-07|2,MI,2008-05-07,2,1,Stog
MI|2008-05-07|3,MI,2008-05-07,3,0,Sortiranje
MI|2008-05-07|4,MI,2008-05-07,4,2,Red
MI|2009-04-09|1,MI,2009-04-09,1,6,Hash tablica
MI|2009-04-09|2,MI,2009-04-09,2,8,Rekurzija
MI|2009-04-09|3,MI,2009-04-09,3,9,Složenost algoritama
MI|2009-04-09|4,MI,2009-04-09,4,1,Stog
MI|2009-05-22|1,MI,2009-05-22,1,3,Vezana lista
MI|2009-05-22|2,MI,2009-05-22,2,0,Sortiranje
MI|2009-05-22|3,MI,2009-05-22,3,2,Red
MI|2009-05-22|4,MI,2009-05-22,4,2,Red
MI|2010-03-29|1,MI,2010-03-29,1,6,Hash tablica
MI|2010-03-29|2,MI,2010-03-29,2,8,Rekurzija
MI|2010-03-29|3,MI,2010-03-29,3,3,Vezana lista
MI|2010-03-29|4,MI,2010-03-29,4,9,Složenost algoritama
MI|2010-03-29|5,MI,2010-03-29,5,3,Vezana lista
MI|2010-03-29|6,MI,2010-03-29,6,0,Sortiranje
MI|2010-05-10|1,MI,2010-05-10,1,0,Sortiranje
MI|2010-05-10|2,MI,2010-05-10,2,2,Red
MI|2010-05-10|3,MI,2010-05-10,3,0,Sortiranje
MI|2010-05-10|4,MI,2010-05-10,4,2,Red
MI|2010-05-10|5,MI,2010-05-10,5,0,Sortiranje
MI|2010-05-10|6,MI,2010-05-10,6,1,Stog
MI|2011-03-21|1,MI,2011-03-21,1,3,Vezana lista
MI|2011-03-21|2,MI,2011-03-21,2,6,Hash tablica
MI|2011-03-21|3,MI,2011-03-21,3,8,Rekurzija
MI|2011-03-21|4,MI,2011-03-21,4,9,Složenost algoritama
MI|2011-03-21|5,MI,2011-03-21,5,1,Stog
MI|2011-05-02|1,MI,2011-05-02,1,0,Sortiranje
MI|2011-05-02|2,MI,2011-05-02,2,2,Red
MI|2011-05-02|3,MI,2011-05-02,3,8,Rekurzija
MI|2011-05-02|4,MI,2011-05-02,4,0,Sortiranje
MI|2011-05-02|5,MI,2011-05-02,5,3,Vezana lista
MI|2011-05-02|6,MI,2011-05-02,6,0,Sortiranje
MI|2012-04-25|1,MI,2012-04-25,1,6,Hash tablica
MI|2012-04-25|2,MI,2012-04-25,2,8,Rekurzija
MI|2012-04-25|3,MI,2012-04-25,3,9,Složenost algoritama
MI|2012-04-25|4,MI,2012-04-25,4,0,Sortiranje
MI|2012-04-25|5,MI,2012-04-25,5,0,Sortiranje
MI|2013-04-23|1,MI,2013-04-23,1,6,Hash tablica
MI|2013-04-23|2,MI,2013-04-23,2,8,Rekurzija
MI|2013-04-23|3,MI,2013-04-23,3,8,Rekurzija
MI|2013-04-23|4,MI,2013-04-23,4,0,Sortiranje
MI|2013-04-23|5,MI,2013-04-23,5,0,Sortiranje
