task_id,exam_type,exam_date,task_no,cluster_id,cluster_label
MI|2008-03-19|1,MI,2008-03-19,1,0,Stog operacije
MI|2008-03-19|2,MI,2008-03-19,2,12,Složenost algoritama
MI|2008-03-19|3,MI,2008-03-19,3,12,Složenost algoritama
MI|2008-03-19|4,MI,2008-03-19,4,1,Binarno stablo
MI|2008-05-07|1,MI,2008-05-07,1,9,Pretraga u nizu
MI|2008-05-07|2,MI,2008-05-07,2,8,Dinamička alokacija
MI|2008-05-07|3,MI,2008-05-07,3,4,Uzlazno sortiranje
MI|2008-05-07|4,MI,2008-05-07,4,5,Red i stog
MI|2009-04-09|1,MI,2009-04-09,1,1,Binarno stablo
MI|2009-04-09|2,MI,2009-04-09,2,9,Pretraga u nizu
MI|2009-04-09|3,MI,2009-04-09,3,12,Složenost algoritama
MI|2009-04-09|4,MI,2009-04-09,4,0,Stog operacije
MI|2009-05-22|1,MI,2009-05-22,1,8,Dinamička alokacija
MI|2009-05-22|2,MI,2009-05-22,2,4,Uzlazno sortiranje
MI|2009-05-22|3,MI,2009-05-22,3,8,Dinamička alokacija
MI|2009-05-22|4,MI,2009-05-22,4,5,Red i stog
MI|2010-03-29|1,MI,2010-03-29,1,1,Binarno stablo
MI|2010-03-29|2,MI,2010-03-29,2,9,Pretraga u nizu
MI|2010-03-29|3,MI,2010-03-29,3,0,Stog operacije
MI|2010-03-29|4,MI,2010-03-29,4,12,Složenost algoritama
MI|2010-03-29|5,MI,2010-03-29,5,12,Složenost algoritama
MI|2010-03-29|6,MI,2010-03-29,6,5,Red i stog
MI|2010-05-10|1,MI,2010-05-10,1,8,Dinamička alokacija
MI|2010-05-10|2,MI,2010-05-10,2,8,Dinamička alokacija
MI|2010-05-10|3,MI,2010-05-10,3,4,Uzlazno sortiranje
MI|2010-05-10|4,MI,2010-05-10,4,12,Složenost algoritama
MI|2010-05-10|5,MI,2010-05-10,5,12,Složenost algoritama
MI|2010-05-10|6,MI,2010-05-10,6,8,Dinamička alokacija
MI|2011-03-21|1,MI,2011-03-21,1,0,Stog operacije
MI|2011-03-21|2,MI,2011-03-21,2,1,Binarno stablo
MI|2011-03-21|3,MI,2011-03-21,3,0,Stog operacije
MI|2011-03-21|4,MI,2011-03-21,4,12,Složenost algoritama
MI|2011-03-21|5,MI,2011-03-21,5,0,Stog operacije
MI|2011-05-02|1,MI,2011-05-02,1,8,Dinamička alokacija
MI|2011-05-02|2,MI,2011-05-02,2,8,Dinamička alokacija
MI|2011-05-02|3,MI,2011-05-02,3,8,Dinamička alokacija
MI|2011-05-02|4,MI,2011-05-02,4,4,Uzlazno sortiranje
MI|2011-05-02|5,MI,2011-05-02,5,8,Dinamička alokacija
MI|2011-05-02|6,MI,2011-05-02,6,5,Red i stog
MI|2012-04-25|1,MI,2012-04-25,1,1,Binarno stablo
MI|2012-04-25|2,MI,2012-04-25,2,9,Pretraga u nizu
MI|2012-04-25|3,MI,2012-04-25,3,6,Hash tablice
MI|2012-04-25|4,MI,2012-04-25,4,12,Složenost algoritama
MI|2012-04-25|5,MI,2012-04-25,5,5,Red i stog
MI|2013-04-23|1,MI,2013-04-23,1,1,Binarno stablo
MI|2013-04-23|2,MI,2013-04-23,2,9,Pretraga u nizu
MI|2013-04-23|3,MI,2013-04-23,3,9,Pretraga u nizu
MI|2013-04-23|4,MI,2013-04-23,4,0,Stog operacije
MI|2013-04-23|5,MI,2013-04-23,5,5,Red i stog
MI|2014-04-23|1,MI,2014-04-23,1,1,Binarno stablo
